Category,Test Case ID,Test Case Description,PreRequisites,Steps to Perform,Step Expected Result,Test Case Expected Result,Actual Result,Status,Note
3.1 User Management,TC-3.1.1-01,Verify successful registration of Individual User,Guest has access to API and valid email,"1. Send POST /auth/register
2. Body: {email: 'newuser@test.com', password: 'SecurePass123!', fullName: 'Test User', userType: 'individual', phoneNumber: '0901234567'}",Returns 201 Created with user object,User created successfully with bidder role and email verification sent,,New,Rule: All new users start with bidder role by default
3.1 User Management,TC-3.1.1-02,Verify successful registration of Business User with Tax ID,Guest has access to API and valid business details,"1. Send POST /auth/register
2. Body: {email: 'business@test.com', password: 'SecurePass123!', fullName: 'Business Corp', userType: 'business', taxId: '0123456789', phoneNumber: '0901234567'}",Returns 201 Created with user object containing taxId,Business user created successfully with taxId stored,,New,Rule: Business users must provide taxId
3.1 User Management,TC-3.1.1-03,Fail to register Business User without Tax ID,Guest has access to API,"1. Send POST /auth/register
2. Body: {email: 'business@test.com', password: 'SecurePass123!', fullName: 'Business Corp', userType: 'business', taxId: null}",Returns 400 Bad Request,Error message indicating Tax ID is required for business users,,New,Rule: Business users must provide taxId
3.1 User Management,TC-3.1.1-04,Fail to register with existing email,Guest has access to API; Email already exists in system,"1. Send POST /auth/register
2. Body: {email: 'existing@test.com', password: 'SecurePass123!', fullName: 'Test User', userType: 'individual'}",Returns 409 Conflict,Error message 'Email already exists' is displayed,,New,
3.1 User Management,TC-3.1.2-01,Verify get current user info successfully,User is authenticated with valid JWT token,"1. Send GET /auth/me
2. Include Authorization: Bearer <valid_token>",Returns 200 OK with user profile,User profile data including email; fullName; role is returned,,New,
3.1 User Management,TC-3.1.2-02,Fail to get user info without authentication,No authentication token,"1. Send GET /auth/me
2. No Authorization header",Returns 401 Unauthorized,Error message 'Unauthorized' is displayed,,New,
3.1 User Management,TC-3.1.3-01,Verify Super Admin can promote user to Admin role,Super Admin is authenticated; Target user exists,"1. Send PUT /auth/admin/users/:userId/promote
2. Body: {role: 'admin'}
3. Use Super Admin token",Returns 200 OK with updated user,User role updated to admin successfully,,New,Rule: super_admin can promote to any role
3.1 User Management,TC-3.1.3-02,Fail Admin promoting user to Admin role,Admin is authenticated; Target user exists,"1. Send PUT /auth/admin/users/:userId/promote
2. Body: {role: 'admin'}
3. Use Admin token",Returns 403 Forbidden,Error message indicating insufficient permissions,,New,Rule: Regular admin cannot promote users to admin or super_admin roles
3.1 User Management,TC-3.1.3-03,Fail Bidder attempting to promote user,Bidder is authenticated; Target user exists,"1. Send PUT /auth/admin/users/:userId/promote
2. Body: {role: 'auctioneer'}
3. Use Bidder token",Returns 403 Forbidden,Error message indicating role not authorized,,New,Rule: Only admin and super_admin can promote users
3.1 User Management,TC-3.1.4-01,Verify Admin can ban user,Admin is authenticated; Target user exists,"1. Update user via internal API
2. Set isBanned: true",Returns 200 OK with updated user,User isBanned field set to true; user cannot access system,,New,
