Function Test Cases,,,,,,,,,,,,,,,
,,,,,,Passed,0,,,,,,,,
,,,,,,Failed,0,,,,,,,,
,,,,,,Not Run,0,,,,,,,,
,,,,,,Not Completed,0,,,,,,,,
,,,,,,Number of test cases,466,trạng thái của pha kiểm thử,trạng thái của cả ca,,,,,,
,Category,Test Case ID,Test Case Description,PreRequisites,Steps,Test Procedures,,Test Case Expected Result,Actual Result,Status,Note,Implementation Status,,,
,,,,,,Steps to Perform,Step Expected Result,,,,,,,
,2.1 User Management,TC-2.1.1-01,Verify successful registration of Individual User,No existing User record with email 'newuser@test.com' in prisma.user,,"1. Send POST /api/auth/register
2. Body: {email: 'newuser@test.com'; password: 'SecurePass123!'; full_name: 'Test User'; user_type: 'individual'; phone_number: '0901234567'}",Returns 201 Created with {user_id; email; verification_required: true},User created in prisma.user with role: UserRole.bidder. Verify: prisma.user.findUnique({where: {email}}) returns record with isVerified: false,,,Implemented,Implemented,DTO: RegisterRequestDto,,
,,TC-2.1.1-02,Verify successful individual user registration,No existing User record with email 'business@test.com' in prisma.user,,"1. Send POST /api/auth/register
2. Body: {email: 'business@test.com'; password: 'SecurePass123!'; full_name: 'Business Corp'; user_type: 'business'; business_registration_number: 'BRN0123456789'; company_name: 'Business Corp Ltd'; phone_number: '0901234567'}",Returns 201 Created with {user_id; email; verification_required: true},User created in prisma.user with userType: UserType.business and taxId stored,Test passed successfully. All assertions matched expected values.,Pass,Implemented,Implemented,,,
,,TC-2.1.1-03,Fail to register with existing email,User with email 'existing@test.com' exists in prisma.user,,"1. Send POST /api/auth/register
2. Body: {email: 'existing@test.com'; password: 'SecurePass123!'; full_name: 'Test'; user_type: 'individual'; phone_number: '0901234567'; identity_number: '001234567890'}",Returns 409 Conflict,Error 'Email already exists'. No duplicate record created,,,Implemented,Implemented,,,
,,TC-2.1.1-04,Fail to register with invalid email format,No preconditions,,"1. Send POST /api/auth/register
2. Body: {email: 'not-an-email'; password: 'SecurePass123!'; full_name: 'Test'; user_type: 'individual'; phone_number: '0901234567'; identity_number: '001234567890'}",Returns 400 Bad Request,Validation error 'Invalid email format' from @IsEmail(),,,Not Started,Not Implemented,,,
