Security Test Cases,,,,,,,,,,,,,
,,,,,,Passed,0,,,,,,
,,,,,,Failed,0,,,,,,
,,,,,,Not Run,0,,,,,,
,,,,,,Not Completed,0,,,,,,
,,,,,,Number of test cases,44,,,,,,
,Category,Test Case ID,Test Case Description,PreRequisites,Steps,Test Procedures,,Test Case Expected Result,Actual Result,Status,Note,Implementation Status,
,,,,,,Steps to Perform,Step Expected Result,,,,,
,4.1 Security Testing,TC-4.1.1-01,IDOR - Bidder accessing other user registrations,Bidder authenticated; Other user exists,,1. Send GET /api/register-to-bid/users/:otherUserId/registrations,Returns 403 Forbidden,Access control enforced,Test passed successfully. All assertions matched expected values.,Pass,Implemented,Implemented,
,4.1 Security Testing,TC-4.1.3-06,TC-4.1.3-06b: BOLA - Auctioneer cannot promote users,,,Run test: test/integration/4.1-security/4.1.7-bola-admin.spec.ts,,,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.704Z; Duration: 64ms,Implemented,,,
,,TC-4.1.1-02,Cannot modify other users notification settings,Bidder authenticated,,1. Send GET /api/auth/users/:otherUserId/profile,Returns 403 Forbidden,Cannot access other profiles,Test passed successfully. All assertions matched expected values.,Pass,Implemented,Implemented,
,,TC-4.1.1-03,IDOR - Access contract of different auction,User not party to contract,,1. Send GET /api/contracts/:contractId,Returns 403 Forbidden,ContractAccessGuard blocks,Test passed successfully. All assertions matched expected values.,Pass,Implemented,Implemented,
,,TC-4.1.1-04,IDOR - Download PDF of other's contract,User not buyer/seller,,1. Send GET /api/contracts/:id/pdf/vi,Returns 403 Forbidden,Cannot export other's contract,,,Not Started,Not Implemented,
,,TC-4.1.1-05,User cannot modify another user profile,Bidder A trying to withdraw B's registration,,1. Send POST /api/register-to-bid/withdraw with other user's auction,Returns 403 Forbidden,Can only withdraw own registration,,,Implemented,Implemented,
,,TC-4.1.2-01,Mass assignment prevention (role elevation),No preconditions,,"1. Send POST /api/auth/register
2. Body includes: {role: 'admin'}",Returns 201 Created with role: bidder,role field ignored; always bidder,Test passed successfully. All assertions matched expected values.,Pass,Implemented,Implemented,
,,TC-4.1.2-02,Mass Assignment - Auction with status override,Auctioneer authenticated,,"1. Send POST /api/auctions
2. Body: {status: 'success'}",Returns 201 Created with status: scheduled,status ignored; default applied,Test passed successfully. All assertions matched expected values.,Pass,Implemented,Implemented,
