Function Test Cases - Previously Unmatched,,,,,,,,,,,,,,,
,,,,,,Passed,18,,,,,,,
,,,,,,Failed,0,,,,,,,
,,,,,,Not Run,0,,,,,,,
,,,,,,Not Completed,0,,,,,,,
,,,,,,Number of test cases,18,,,,,,,
,Category,Test Case ID,Test Case Description,PreRequisites,Steps,Test Procedures,,Test Case Expected Result,Actual Result,Status,Note,Implementation Status,,,
,,,,,,Steps to Perform,Step Expected Result,,,,,,,
,2.11 Article,TC-2.11.5-03,Verify clear all relations,Article has existing relations; Admin authenticated,,"1. Send PATCH /api/articles/:id/relations
2. Body: {relatedIds: []}",Returns 200 OK,All ArticleRelation records removed,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.704Z; Duration: 81ms,Implemented,File: 2.11.2-update-delete.spec.ts,,
,2.11 Article,TC-2.11.5-04,Fail relation with self,Article exists; Admin authenticated,,"1. Send PATCH /api/articles/:id/relations
2. Body: {relatedIds: [':id']} (same article ID)",Returns 400 Bad Request,Cannot relate article to itself,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.704Z; Duration: 65ms,Implemented,File: 2.11.2-update-delete.spec.ts,,
,2.3 Auction Management,TC-2.3.2-05,Verify Auctioneer creates auction,Auctioneer authenticated; Location exists,,"1. Send POST /api/auctions
2. Authorization: Bearer <auctioneer_token>
3. Body: {code; name; assetType; startingPrice; bidIncrement; auctionStartAt; auctionEndAt; ...}",Returns 201 Created,Auction created with status: AuctionStatus.scheduled,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.702Z; Duration: 97ms,Implemented,File: 2.3.3-create-auction.spec.ts,,
,2.3 Auction Management,TC-2.3.3-06,Fail with auction end before start,Auctioneer authenticated,,"1. Send POST /api/auctions
2. Authorization: Bearer <admin_token>
3. Body: {auctionStartAt: future_date; auctionEndAt: earlier_than_start_date}",Returns 400 Bad Request,Business logic error - end must be after start,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.702Z; Duration: 86ms,Implemented,File: 2.3.3-create-auction.spec.ts,,
,2.3 Auction Management,TC-2.3.6-01,Verify update auction dates,Scheduled auction exists; Admin authenticated,,"1. Send PUT /api/auctions/:id
2. Authorization: Bearer <admin_token>
3. Body: {auctionStartAt: newDate; auctionEndAt: newDate}",Returns 200 OK,Dates updated in prisma.auction,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.706Z; Duration: 71ms,Implemented,File: 2.3.4-update-auction.spec.ts; TC-2.3.4-03,,
,2.3 Auction Management,TC-2.3.5-05,Fail delete non-existent auction,UUID doesn't exist,,"1. Send DELETE /api/auctions/550e8400-e29b-41d4-a716-446655440000
2. Authorization: Bearer <admin_token>",Returns 404 Not Found,Auction not found error,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.702Z; Duration: 55ms,Implemented,File: 2.3.5-delete-auction.spec.ts,,
,2.3 Auction Management,TC-2.3.6-02,Verify replace auction relations,Auction has existing relations; Admin authenticated,,"1. Send PATCH /api/auctions/:id/relations
2. Authorization: Bearer <admin_token>
3. Body: {relatedIds: ['newUuid']}",Returns 200 OK,Old relations removed; new ones created,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.704Z; Duration: 116ms,Implemented,File: 2.3.6-auction-relations.spec.ts,,
,2.3 Auction Management,TC-2.3.6-05,Fail relation with non-existent auction,Related UUID doesn't exist; Admin authenticated,,"1. Send PATCH /api/auctions/:id/relations
2. Authorization: Bearer <admin_token>
3. Body: {relatedIds: ['550e8400-e29b-41d4-a716-446655440000']}",Returns 400 or 404,Related auction not found,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.704Z; Duration: 123ms,Implemented,File: 2.3.6-auction-relations.spec.ts,,
,2.4 Registration to Bid,TC-2.4.3-05,Fail duplicate check-in,checkedInAt already set for participant,,"1. Send POST /api/register-to-bid/check-in
2. Authorization: Bearer <bidder_token>
3. Body: {auctionId: 'uuid'}",Returns 409 Conflict,Already checked in,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.706Z; Duration: 75ms,Implemented,File: 2.4.3-check-in.spec.ts,,
,2.5 Bidding System,TC-2.5.1-05,Fail with bid below starting price,No bids; startingPrice: 10000000; User checked in,,"1. Send POST /api/manual-bid
2. Authorization: Bearer <bidder_token>
3. Body: {auctionId: 'uuid'; amount: 5000000}",Returns 400 Bad Request,Bid must be >= startingPrice,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.703Z; Duration: 67ms,Implemented,File: 2.5.1-manual-bidding.spec.ts,,
,2.6 Auction Finalization,TC-2.6.9-01,Verify Admin disqualifies winner on payment default,Admin authenticated; Auction ended with winner; Winner has not paid,,"1. Send POST /api/auction-finalization/handle-winner-default
2. Authorization: Bearer <admin_token>
3. Body: {auctionId: 'uuid'; reason: 'Failed to pay within deadline'}",Returns 200 OK,Winner isDisqualified: true; disqualifiedReason: 'PAYMENT_DEFAULT',Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.705Z; Duration: 100ms,Implemented,File: 2.6.4-winner-default.spec.ts; [High Priority Test],,
,2.6 Auction Finalization,TC-2.6.9-02,Verify second highest bidder becomes winner,Admin authenticated; Winner default handled; Second highest bid exists,,"1. Send POST /api/auction-finalization/handle-winner-default
2. Authorization: Bearer <admin_token>
3. Body: {auctionId: 'uuid'; reason: 'Failed to pay'}",Returns 200 OK,Second place bid isWinningBid: true; Original winning bid isWinningBid: false,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.705Z; Duration: 70ms,Implemented,File: 2.6.4-winner-default.spec.ts; [High Priority Test],,
,2.6 Auction Finalization,TC-2.6.9-03,Verify deposit forfeiture on winner default,Admin authenticated; Winner default handled,,"1. Send POST /api/auction-finalization/handle-winner-default
2. Authorization: Bearer <admin_token>
3. Body: {auctionId: 'uuid'; reason: 'Failed to pay'}",Returns 200 OK,Winner's refundStatus: 'forfeited',Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.705Z; Duration: 64ms,Implemented,File: 2.6.4-winner-default.spec.ts; [High Priority Test],,
,2.6 Auction Finalization,TC-2.6.9-04,Fail handle default for auction without winner,No winning bids exist; Admin authenticated,,"1. Delete all bids from auction
2. Send POST /api/auction-finalization/handle-winner-default
3. Authorization: Bearer <admin_token>
4. Body: {auctionId: 'uuid'; reason: 'No winner to default'}",Returns 400 or 404,Error indicating no winner exists,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.705Z; Duration: 65ms,Implemented,File: 2.6.4-winner-default.spec.ts,,
,2.6 Auction Finalization,TC-2.6.9-05,Fail Bidder handling winner default,Bidder authenticated,,"1. Send POST /api/auction-finalization/handle-winner-default
2. Authorization: Bearer <bidder_token>
3. Body: {auctionId: 'uuid'; reason: 'Unauthorized attempt'}",Returns 403 or 404,Bidders cannot handle winner defaults; RolesGuard blocks,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.705Z; Duration: 66ms,Implemented,File: 2.6.4-winner-default.spec.ts,,
,2.6 Auction Finalization,TC-2.6.9-06,Handle default when no second bidder exists,Winner default; No second highest bidder,,"1. Remove second bidder's bids
2. Send POST /api/auction-finalization/handle-winner-default
3. Authorization: Bearer <admin_token>
4. Body: {auctionId: 'uuid'; reason: 'Winner defaulted; no backup'}",Returns 200 or 400,If 200: Auction status: AuctionStatus.failed,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.706Z; Duration: 64ms,Implemented,File: 2.6.4-winner-default.spec.ts,,
,4.1 Security,TC-4.1.3-06b,BOLA - Auctioneer cannot promote users,Auctioneer authenticated; Target user exists,,"1. Send PUT /api/auth/admin/users/:userId/promote
2. Authorization: Bearer <auctioneer_token>
3. Body: {role: 'auctioneer'}",Returns 403 Forbidden,RolesGuard blocks; Only Admin/Super Admin can promote,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.704Z; Duration: 64ms,Implemented,File: 4.1.7-bola-admin.spec.ts; BOLA protection test,,
,5.1 Reliability,TC-5.1.4-04,Verify WebSocket gateway is configured,Application started successfully,,"1. Start application with AppModule
2. Send GET /api/auctions
3. Authorization: Bearer <bidder_token>",Returns 200 OK,If app starts successfully; WebSocket gateway (BiddingGateway) is configured,Test passed successfully. All assertions matched expected values.,Pass,Executed: 2025-12-29T10:06:37.703Z; Duration: 62ms,Implemented,File: 5.1.5-websocket-resilience.spec.ts,,
