Requirement Traceability Matrix,,,,,,,,,,,,,,,,,,,,,,,,,
No,Req ID,Req Desc,TC ID,TC Desc,Test Design,Test Designer,UAT Test  Req?,Test Execution,,,Defects?,Defect ID,Defect Status,Req Coverage Status,,,,,,,,,,,
,,,,,,,,Test Env,UAT Env,Prod Env,,,,,,,,,,,,,,,
1,2.1.1,Register User in System (Actor: Guest),"TC-2.1.1-01, TC-2.1.1-02, TC-2.1.1-03, TC-2.1.1-04, TC-2.1.1-05, TC-2.1.1-06, TC-2.1.1-07, TC-2.1.1-08, TC-2.1.1-09, TC-2.1.1-10, TC-2.1.1-11, TC-2.1.1-12, TC-2.1.1-13, TC-2.1.1-14, TC-2.1.1-15, TC-2.1.1-16, TC-2.1.1-17, TC-2.1.1-18, TC-2.1.1-19, TC-2.1.1-20, TC-2.1.1-21, TC-2.1.1-22, TC-2.1.1-23, TC-2.1.1-24, TC-2.1.1-25, TC-2.1.1-26, TC-2.1.1-27, TC-2.1.1-28, TC-2.1.1-29, TC-2.1.1-30",Verify Individual/Business registration success/failure scenarios,Complete,QA Team,Yes,Partial (18/30),,,No,,,Covered,,,,,,,,,,,
2,2.1.2,Get Current User Info (Actor: All Authenticated),"TC-2.1.2-01, TC-2.1.2-02, TC-2.1.2-03, TC-2.1.2-04, TC-2.1.2-05, TC-2.1.2-06, TC-2.1.2-07, TC-2.1.2-08",Verify get user info with/without authentication,Complete,QA Team,Yes,Partial (6/8),,,No,,,Covered,,,,,,,,,,,
3,2.1.3,Promote User Role (Actor: Admin; Super Admin),"TC-2.1.3-01, TC-2.1.3-02, TC-2.1.3-03, TC-2.1.3-04, TC-2.1.3-05, TC-2.1.3-06, TC-2.1.3-07, TC-2.1.3-08, TC-2.1.3-09, TC-2.1.3-10, TC-2.1.3-11, TC-2.1.3-12",Verify role promotion permissions by Super Admin/Admin/Bidder,Complete,QA Team,Yes,Partial (10/12),,,No,,,Covered,,,,,,,,,,,
4,2.1.4,Ban User (Actor: Admin; Super Admin),"TC-2.1.4-01, TC-2.1.4-02",Verify Admin can ban user; Bidder cannot ban,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
5,2.1.5,Verify User Identity KYC (Actor: Admin; Super Admin),"TC-2.1.5-01, TC-2.1.5-02",Verify KYC verification by Admin; non-admin restriction,Complete,QA Team,Yes,Not Started,,,No,,,Covered,,,,,,,,,,,
6,2.2.1,Register Account (Actor: Guest),"TC-2.2.1-01, TC-2.2.1-02, TC-2.2.1-03, TC-2.2.1-04, TC-2.2.1-05, TC-2.2.1-06, TC-2.2.1-07, TC-2.2.1-08, TC-2.2.1-09, TC-2.2.1-10",Verify account registration success/invalid email failure,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
7,2.2.2,Login (Actor: Guest),"TC-2.2.2-01, TC-2.2.2-02, TC-2.2.2-03, TC-2.2.2-04",Verify login success/wrong password/unverified email,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
8,2.2.3,Forgot Password (Actor: Guest),"TC-2.2.3-01, TC-2.2.3-02, TC-2.2.3-03",Verify forgot password email sent/non-existent email handling,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
9,2.2.4,Resend Verification Email (Actor: Guest),"TC-2.2.4-01, TC-2.2.4-02, TC-2.2.4-03, TC-2.2.4-04, TC-2.2.4-05, TC-2.2.4-06",Verify resend verification for unverified/already verified email,Complete,QA Team,Yes,Complete,,,No,,,Covered,,,,,,,,,,,
